 rho spower powden powden_e                            powden_i powden_cl
  0.1931E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.5792E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.9654E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1352E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1738E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2124E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2510E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2896E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3282E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3669E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4055E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4441E+00  0.4098E+09  0.2565E+06  0.2565E+06  0.0000E+00  0.0000E+00
  0.4827E+00  0.3103E+12  0.1784E+09  0.1784E+09  0.0000E+00  0.0000E+00
  0.5213E+00  0.6811E+12  0.3616E+09  0.3616E+09  0.0000E+00  0.0000E+00
  0.5599E+00  0.2050E+12  0.1012E+09  0.1012E+09  0.0000E+00  0.0000E+00
  0.5986E+00  0.8001E+12  0.3685E+09  0.3685E+09  0.0000E+00  0.0000E+00
  0.6372E+00  0.1317E+12  0.5690E+08  0.5690E+08  0.0000E+00  0.0000E+00
  0.6758E+00  0.3225E+13  0.1312E+10  0.1312E+10  0.0000E+00  0.0000E+00
  0.7144E+00  0.2508E+13  0.9617E+09  0.9617E+09  0.0000E+00  0.0000E+00
  0.7530E+00  0.5937E+11  0.2153E+08  0.2153E+08  0.0000E+00  0.0000E+00
  0.7916E+00  0.7224E+12  0.2487E+09  0.2487E+09  0.0000E+00  0.0000E+00
  0.8303E+00  0.6562E+12  0.2146E+09  0.2146E+09  0.0000E+00  0.0000E+00
